siniestro_id,poliza_id,anio_ocurrencia,fecha_siniestro,fecha_reporte,tipo_siniestro,monto_siniestro,deducible,monto_neto,monto_pagado,estado_siniestro,monto_reserva,mes_siniestro
44,313,2020,2021-03-06,2021-03-11,Robo Parcial,24964.08,3744.61,21219.47,21219.47,Pagado,0,3
45,316,2020,2020-07-30,2020-08-13,Colision,11761.3,1800,9961.3,9961.289999999999,Pagado,0,7
46,346,2020,2021-04-07,2021-04-19,Danos,26217.25,3932.59,22284.66,22284.66,Pagado,0,4
47,385,2020,2021-04-22,2021-05-02,Danos,10614.2,1800,8814.2,8814.199999999999,Pagado,0,4
48,387,2020,2020-05-01,2020-05-01,Robo Parcial,7374.07,1800,5574.07,5574.07,Pagado,0,5
49,395,2020,2021-02-26,2021-03-08,Colision,8567.35,1800,6767.35,6767.360000000001,Pagado,0,2
50,403,2020,2020-11-09,2020-11-23,Colision,33705.33,5055.8,28649.53,0,Rechazado,0,11
51,412,2020,2020-10-07,2020-10-09,Colision,4930.39,1800,3130.39,3130.38,Pagado,0,10
52,419,2020,2021-03-04,2021-03-05,Colision,24605.92,3690.89,20915.03,20915.03,Pagado,0,3
53,424,2020,2021-01-13,2021-01-26,Colision,1486.88,1800,0,0,Pagado,0,1
54,429,2020,2020-12-17,2020-12-22,Colision,70648.05,10597.21,60050.84,60050.85,Pagado,0,12
55,440,2020,2020-10-09,2020-10-11,Colision,27045.83,4056.87,22988.95,0,Rechazado,0,10
56,447,2020,2021-07-05,2021-07-12,Colision,18538.4,2780.76,15757.64,15757.640000000001,Pagado,0,7
57,452,2020,2020-11-11,2020-11-19,Colision,10782.95,1800,8982.95,8982.949999999999,Pagado,0,11
58,484,2020,2021-07-29,2021-08-04,Danos,17205.55,2580.83,14624.71,14624.699999999999,Pagado,0,7
59,494,2020,2020-07-21,2020-08-02,Colision,34653.85,5198.08,29455.77,29455.76,Pagado,0,7
60,495,2020,2021-06-23,2021-07-01,Colision,71363.59,10704.54,60659.05,60659.06,Pagado,0,6
61,497,2020,2021-01-26,2021-02-08,Robo Parcial,9958.61,1800,8158.61,8158.62,Pagado,0,1
62,498,2020,2021-01-21,2021-02-01,Danos,45132.32,6769.85,38362.47,38362.46,Pagado,0,1
63,503,2020,2021-07-25,2021-07-27,Colision,3342.06,1800,1542.06,1542.06,Pagado,0,7
64,515,2020,2021-02-19,2021-03-05,Colision,17331.58,2599.74,14731.84,14731.84,Pagado,0,2
65,523,2020,2021-03-15,2021-03-16,Colision,17108.42,2566.26,14542.16,0,Rechazado,0,3
66,543,2020,2021-06-09,2021-06-11,Colision,51181.22,7677.18,43504.04,43504.05,Pagado,0,6
67,543,2020,2020-07-08,2020-07-17,Danos,11500.51,1800,9700.51,9700.51,Pagado,0,7
68,550,2020,2021-05-21,2021-05-29,Colision,8356.43,1800,6556.43,6556.42,Pagado,0,5
69,552,2020,2021-03-31,2021-04-05,Danos,4787.05,1800,2987.05,2987.05,Pagado,0,3
70,556,2020,2020-12-25,2021-01-03,Colision,10092.5,1800,8292.5,8292.51,Pagado,0,12
71,564,2020,2021-03-23,2021-03-25,Robo Parcial,8056.3,1800,6256.3,0,Rechazado,0,3
72,565,2020,2021-03-17,2021-03-29,Colision,6271.35,1800,4471.35,4471.35,Pagado,0,3
73,566,2020,2020-06-11,2020-06-22,Colision,23328.94,3499.34,19829.6,19829.61,Pagado,0,6
74,583,2020,2020-08-02,2020-08-14,Robo Parcial,18453.46,2768.02,15685.44,15685.44,Pagado,0,8
75,611,2020,2021-03-14,2021-03-14,Colision,9446.76,1800,7646.76,0,Rechazado,0,3
76,616,2020,2020-07-04,2020-07-17,Robo Parcial,18689.87,2803.48,15886.39,15886.380000000001,Pagado,0,7
77,637,2020,2021-06-01,2021-06-02,Robo Parcial,17309.37,2596.41,14712.97,14712.97,Pagado,0,6
78,637,2020,2021-02-14,2021-02-28,Danos,11510.06,1800,9710.06,9710.050000000001,Pagado,0,2
79,643,2020,2021-08-01,2021-08-16,Danos,76578.52,11486.78,65091.74,65091.74,Pagado,0,8
80,655,2020,2021-07-16,2021-07-29,Colision,6063.09,1800,4263.09,4263.08,Pagado,0,7
81,669,2020,2021-02-07,2021-02-20,Colision,1017.97,1800,0,0,Pagado,0,2
82,672,2020,2021-02-20,2021-02-25,Colision,7597.24,1800,5797.24,5797.25,Pagado,0,2
83,681,2020,2021-03-30,2021-04-14,Colision,21516.75,3227.51,18289.24,18289.24,Pagado,0,3
84,683,2020,2020-11-14,2020-11-16,Danos,3298.45,1800,1498.45,1498.46,Pagado,0,11
85,691,2020,2020-10-17,2020-10-21,Robo Parcial,7871.02,1800,6071.02,6071.03,Pagado,0,10
86,713,2020,2021-08-31,2021-09-12,Colision,14874.37,2231.15,12643.21,12643.21,Pagado,0,8
87,714,2020,2021-08-29,2021-09-01,Colision,14114.22,2117.13,11997.09,11997.09,Pagado,0,8
88,720,2020,2021-03-24,2021-04-07,Robo Parcial,18571.09,2785.66,15785.43,0,Rechazado,0,3
89,729,2020,2020-10-29,2020-11-11,Robo Parcial,25134.56,3770.18,21364.37,21364.370000000003,Pagado,0,10
90,732,2020,2020-10-12,2020-10-15,Colision,35407.48,5311.12,30096.36,30096.36,Pagado,0,10
91,758,2020,2020-03-23,2020-03-23,Colision,43538.74,6530.81,37007.93,0,Rechazado,0,3
92,781,2020,2021-05-11,2021-05-20,Colision,13355.74,2003.36,11352.38,11352.380000000001,Pagado,0,5
93,810,2020,2021-05-02,2021-05-11,Colision,5913.43,1800,4113.43,4113.43,Pagado,0,5
94,828,2020,2020-02-07,2020-02-20,Colision,4531.61,1800,2731.61,2731.6,Pagado,0,2
95,835,2020,2020-08-28,2020-09-11,Robo Parcial,6101.59,1800,4301.59,4301.59,Pagado,0,8
96,858,2020,2020-11-21,2020-12-06,Colision,10119.63,1800,8319.63,8319.62,Pagado,0,11
97,872,2020,2020-07-29,2020-08-11,Robo Parcial,27754.62,4163.19,23591.43,23591.43,Pagado,0,7
98,873,2020,2021-08-13,2021-08-21,Colision,18333.97,2750.09,15583.87,15583.87,Pagado,0,8
99,903,2020,2020-12-01,2020-12-01,Robo Parcial,17065.23,2559.78,14505.44,0,Rechazado,0,12
100,917,2020,2021-03-06,2021-03-06,Colision,21780.4,3267.06,18513.34,18513.329999999998,Pagado,0,3
101,921,2020,2021-07-11,2021-07-20,Colision,2449.84,1800,649.84,649.84,Pagado,0,7
102,963,2020,2021-07-25,2021-08-02,Colision,7758.45,1800,5958.45,5958.450000000001,Pagado,0,7
103,967,2020,2021-06-10,2021-06-23,Robo Parcial,34503,5175.45,29327.55,29327.55,Pagado,0,6
104,976,2020,2021-02-28,2021-03-03,Colision,7494.81,1800,5694.81,0,Rechazado,0,2
105,978,2020,2020-05-20,2020-05-28,Danos,24260.3,3639.05,20621.26,20621.26,Pagado,0,5
106,981,2020,2020-10-21,2020-10-31,Danos,12386.72,1858.01,10528.71,10528.710000000001,Pagado,0,10
107,989,2020,2021-06-29,2021-07-07,Robo Total,278437.27,41765.59,236671.68,236671.68999999997,Pagado,0,6
108,989,2020,2020-09-21,2020-10-01,Danos,34664.46,5199.67,29464.79,0,Rechazado,0,9
109,997,2020,2020-11-21,2020-11-27,Colision,9558.15,1800,7758.15,0,Rechazado,0,11
110,998,2020,2020-10-09,2020-10-24,Robo Parcial,4133.43,1800,2333.43,2333.43,Pagado,0,10
111,1003,2020,2021-03-17,2021-03-17,Danos,14010.41,2101.56,11908.85,0,Rechazado,0,3
112,1021,2020,2020-12-31,2021-01-08,Danos,17540.95,2631.14,14909.81,14909.800000000001,Pagado,0,12
113,1029,2020,2021-02-02,2021-02-12,Robo Parcial,35887.29,5383.09,30504.19,30504.190000000002,Pagado,0,2
114,1032,2020,2020-10-20,2020-10-21,Colision,16873,2530.95,14342.05,14342.039999999999,Pagado,0,10
115,1037,2020,2021-08-30,2021-09-13,Danos,20898.63,3134.8,17763.84,17763.829999999998,Pagado,0,8
116,1038,2020,2020-07-29,2020-08-04,Colision,58953.7,8843.05,50110.64,50110.64,Pagado,0,7
117,1041,2020,2020-09-06,2020-09-10,Danos,1984.84,1800,184.84,0,Rechazado,0,9
118,1053,2020,2020-05-20,2020-05-23,Robo Parcial,12283.88,1842.58,10441.3,10441.3,Pagado,0,5
119,1062,2020,2021-03-29,2021-04-07,Colision,37847.27,5677.09,32170.18,32170.18,Pagado,0,3
120,1074,2020,2020-02-24,2020-03-04,Danos,10870.44,1800,9070.44,9070.43,Pagado,0,2
121,1111,2020,2021-07-27,2021-07-28,Colision,40154.35,6023.15,34131.2,34131.200000000004,Pagado,0,7
122,1140,2020,2021-05-11,2021-05-17,Colision,13033.32,1955,11078.32,11078.310000000001,Pagado,0,5
123,1141,2020,2020-05-15,2020-05-18,Colision,4445.75,1800,2645.75,2645.75,Pagado,0,5
124,1157,2020,2020-06-02,2020-06-15,Colision,9227.26,1800,7427.26,7427.26,Pagado,0,6
125,1165,2020,2021-01-08,2021-01-18,Colision,45076.21,6761.43,38314.78,0,Rechazado,0,1
126,1182,2020,2021-07-05,2021-07-08,Colision,105022.27,15753.34,89268.93,89268.93000000001,Pagado,0,7
127,1193,2020,2021-10-13,2021-10-24,Colision,42466.11,6369.92,36096.2,36096.2,Pagado,0,10
128,1197,2020,2020-12-20,2021-01-03,Robo Parcial,15430.75,2314.61,13116.14,13116.14,Pagado,0,12
129,1208,2020,2020-08-10,2020-08-14,Colision,11285.14,1800,9485.14,9485.14,Pagado,0,8
130,1227,2020,2021-07-19,2021-07-22,Colision,19512.82,2926.92,16585.89,0,Rechazado,0,7
131,1230,2020,2021-04-14,2021-04-24,Colision,37495.64,5624.35,31871.29,31871.29,Pagado,0,4
132,1232,2020,2020-04-22,2020-04-30,Colision,53988.62,8098.29,45890.33,0,Rechazado,0,4
133,1240,2020,2020-11-19,2020-11-19,Robo Parcial,609.33,1800,0,0,Pagado,0,11
134,1246,2020,2020-09-18,2020-09-18,Danos,6089.43,1800,4289.43,4289.43,Pagado,0,9
135,1248,2020,2020-10-01,2020-10-02,Danos,11625.62,1800,9825.62,9825.63,Pagado,0,10
136,1251,2020,2020-11-12,2020-11-17,Danos,19597.09,2939.56,16657.53,16657.53,Pagado,0,11
137,1253,2020,2021-03-16,2021-03-22,Colision,8577.23,1800,6777.23,6777.2300000000005,Pagado,0,3
138,1258,2020,2021-05-18,2021-05-21,Colision,11236.77,1800,9436.77,9436.77,Pagado,0,5
139,1260,2020,2020-10-08,2020-10-17,Danos,34601.57,5190.24,29411.33,0,Rechazado,0,10
140,1264,2020,2020-11-26,2020-12-06,Robo Parcial,8937,1800,7137,7137.01,Pagado,0,11
141,1264,2020,2020-06-04,2020-06-15,Colision,2900.21,1800,1100.21,0,Rechazado,0,6
142,1267,2020,2021-02-19,2021-02-25,Colision,17742.05,2661.31,15080.74,0,Rechazado,0,2
143,1275,2020,2020-09-14,2020-09-20,Robo Parcial,54710.42,8206.56,46503.86,0,Rechazado,0,9
144,1277,2020,2021-04-24,2021-04-24,Colision,7246.94,1800,5446.94,5446.9400000000005,Pagado,0,4
145,1283,2020,2020-09-19,2020-09-30,Danos,11477.65,1800,9677.65,9677.65,Pagado,0,9
146,1286,2020,2021-06-05,2021-06-05,Colision,6457.54,1800,4657.54,4657.54,Pagado,0,6
147,1298,2020,2020-09-06,2020-09-19,Colision,17513.77,2627.07,14886.7,14886.69,Pagado,0,9
148,1311,2020,2020-07-11,2020-07-20,Robo Total,166842.27,25026.34,141815.93,141815.94,Pagado,0,7
149,1339,2020,2021-06-19,2021-07-03,Colision,27028.3,4054.25,22974.06,22974.06,Pagado,0,6
150,1342,2020,2020-05-26,2020-06-07,Robo Total,120390.73,18058.61,102332.12,102332.12,Pagado,0,5
151,1343,2020,2020-06-16,2020-07-01,Colision,34689.76,5203.46,29486.29,0,Rechazado,0,6
152,1370,2020,2020-09-21,2020-09-22,Colision,49753.96,7463.09,42290.86,42290.86,Pagado,0,9
153,1376,2020,2021-05-23,2021-06-01,Robo Parcial,9025.81,1800,7225.81,7225.799999999999,Pagado,0,5
154,1393,2020,2020-04-19,2020-04-29,Robo Parcial,13879.08,2081.86,11797.22,0,Rechazado,0,4
155,1411,2020,2020-12-05,2020-12-12,Danos,19039.07,2855.86,16183.21,16183.2,Pagado,0,12
156,1420,2020,2021-04-21,2021-04-28,Colision,48722.38,7308.36,41414.02,41414.020000000004,Pagado,0,4
157,1424,2020,2020-07-20,2020-08-02,Danos,22433,3364.95,19068.05,19068.04,Pagado,0,7
158,1434,2020,2020-08-15,2020-08-21,Colision,44847.3,6727.1,38120.21,38120.200000000004,Pagado,0,8
159,1436,2020,2020-12-02,2020-12-09,Danos,5237.57,1800,3437.57,3437.5699999999997,Pagado,0,12
160,1446,2020,2021-07-02,2021-07-11,Robo Parcial,51726.61,7758.99,43967.62,43967.619999999995,Pagado,0,7
161,1478,2020,2020-08-27,2020-09-08,Danos,24103.89,3615.58,20488.3,20488.31,Pagado,0,8
162,1486,2020,2020-12-25,2021-01-05,Colision,8022,1800,6222,0,Rechazado,0,12
163,1488,2020,2020-07-24,2020-07-29,Colision,17748.61,2662.29,15086.32,15086.33,Pagado,0,7
164,1491,2020,2021-05-22,2021-05-23,Colision,2817.24,1800,1017.24,1017.24,Pagado,0,5
165,1521,2020,2021-05-08,2021-05-22,Robo Parcial,49296.43,7394.46,41901.96,41901.96,Pagado,0,5
166,1541,2020,2021-04-03,2021-04-16,Danos,15614.63,2342.19,13272.43,13272.42,Pagado,0,4
167,1554,2020,2020-09-27,2020-10-06,Colision,9153.06,1800,7353.06,7353.06,Pagado,0,9
168,1581,2020,2021-06-14,2021-06-23,Colision,15832.81,2374.92,13457.88,13457.880000000001,Pagado,0,6
169,1589,2020,2020-06-04,2020-06-10,Colision,11663.93,1800,9863.93,9863.94,Pagado,0,6
170,1598,2020,2021-01-28,2021-02-07,Robo Total,262953.6,39443.04,223510.56,223510.56,Pagado,0,1
171,1602,2020,2020-07-04,2020-07-18,Robo Parcial,70976.9,10646.54,60330.37,60330.38,Pagado,0,7
172,1613,2020,2020-06-03,2020-06-09,Robo Parcial,23698.11,3554.72,20143.39,20143.39,Pagado,0,6
173,1627,2020,2021-06-12,2021-06-19,Colision,44909.87,6736.48,38173.39,38173.39,Pagado,0,6
174,1629,2020,2020-07-06,2020-07-13,Robo Total,169104.35,25365.65,143738.69,143738.69,Pagado,0,7
175,1680,2020,2020-12-08,2020-12-14,Colision,52611.83,7891.77,44720.05,44720.060000000005,Pagado,0,12
176,1693,2020,2021-06-13,2021-06-17,Robo Parcial,36195.37,5429.3,30766.06,30766.059999999998,Pagado,0,6
177,1695,2020,2020-03-01,2020-03-07,Robo Parcial,4042.23,1800,2242.23,2242.23,Pagado,0,3
178,1699,2020,2020-12-05,2020-12-08,Danos,9109.05,1800,7309.05,7309.05,Pagado,0,12
179,1735,2020,2021-03-13,2021-03-14,Colision,12742.34,1911.35,10830.99,0,Rechazado,0,3
180,1756,2020,2021-03-14,2021-03-26,Colision,21626.15,3243.92,18382.23,18382.22,Pagado,0,3
181,1764,2020,2020-11-11,2020-11-19,Colision,16365.32,2454.8,13910.52,13910.52,Pagado,0,11
182,1767,2020,2020-12-09,2020-12-17,Colision,14647.63,2197.14,12450.48,0,Rechazado,0,12
183,1769,2020,2020-05-28,2020-06-05,Robo Total,159040.64,23856.1,135184.55,0,Rechazado,0,5
184,1780,2020,2020-12-04,2020-12-14,Robo Parcial,16231.38,2434.71,13796.67,13796.67,Pagado,0,12
185,1798,2020,2020-09-06,2020-09-13,Danos,23277.34,3491.6,19785.74,19785.74,Pagado,0,9
186,1813,2020,2020-10-04,2020-10-08,Robo Total,243792.77,36568.92,207223.86,207223.86,Pagado,0,10
187,1837,2020,2020-06-27,2020-07-06,Danos,20389.88,3058.48,17331.4,17331.39,Pagado,0,6
188,1844,2020,2021-04-05,2021-04-17,Colision,8217,1800,6417,6416.99,Pagado,0,4
189,1849,2020,2020-12-16,2020-12-16,Danos,6825.19,1800,5025.19,5025.19,Pagado,0,12
190,1850,2020,2021-09-02,2021-09-04,Robo Total,165835.83,24875.37,140960.45,140960.46,Pagado,0,9
191,1850,2020,2021-05-15,2021-05-28,Colision,15946.7,2392,13554.69,13554.69,Pagado,0,5
192,1851,2020,2020-12-23,2021-01-07,Colision,10609.28,1800,8809.28,8809.29,Pagado,0,12
193,1895,2020,2021-04-19,2021-04-28,Colision,23919.44,3587.92,20331.53,20331.52,Pagado,0,4
194,1903,2020,2020-11-15,2020-11-15,Colision,65195.53,9779.33,55416.2,55416.200000000004,Pagado,0,11
195,1913,2020,2021-07-18,2021-08-02,Colision,12885.09,1932.76,10952.33,0,Rechazado,0,7
196,1916,2020,2021-03-05,2021-03-11,Colision,10109.5,1800,8309.5,8309.5,Pagado,0,3
197,1916,2020,2021-03-19,2021-03-29,Danos,5439.35,1800,3639.35,3639.35,Pagado,0,3
198,1937,2020,2021-06-05,2021-06-13,Danos,30131.33,4519.7,25611.63,0,Rechazado,0,6
199,1953,2020,2020-08-10,2020-08-23,Colision,29126.83,4369.02,24757.8,0,Rechazado,0,8
200,1980,2020,2021-01-01,2021-01-10,Colision,10993.63,1800,9193.63,9193.63,Pagado,0,1
201,2016,2020,2021-01-27,2021-01-29,Colision,2661.04,1800,861.04,0,Rechazado,0,1
202,2040,2020,2020-11-15,2020-11-23,Colision,9673.85,1800,7873.85,7873.86,Pagado,0,11
203,2044,2020,2021-01-11,2021-01-20,Robo Total,140141.71,21021.26,119120.45,119120.45,Pagado,0,1
204,2060,2020,2020-10-12,2020-10-12,Robo Parcial,5685.29,1800,3885.29,3885.2999999999997,Pagado,0,10
205,2064,2020,2020-12-27,2021-01-09,Colision,9260.55,1800,7460.55,0,Rechazado,0,12
206,2068,2020,2020-09-13,2020-09-18,Colision,78297.26,11744.59,66552.67,0,Rechazado,0,9
207,2069,2020,2020-07-01,2020-07-06,Colision,17415.09,2612.26,14802.83,14802.83,Pagado,0,7
208,2079,2020,2021-09-09,2021-09-21,Colision,13876.94,2081.54,11795.4,11795.41,Pagado,0,9
209,2100,2020,2020-07-25,2020-07-26,Colision,29285.79,4392.87,24892.92,24892.93,Pagado,0,7
210,2101,2020,2020-12-01,2020-12-14,Colision,6257.59,1800,4457.59,0,Rechazado,0,12
211,2117,2020,2021-08-28,2021-09-12,Robo Parcial,23887.87,3583.18,20304.69,20304.7,Pagado,0,8
212,2140,2020,2021-06-08,2021-06-23,Colision,15424.19,2313.63,13110.56,13110.56,Pagado,0,6
213,2145,2020,2020-06-01,2020-06-02,Danos,17859.68,2678.95,15180.73,15180.74,Pagado,0,6
214,2146,2020,2021-01-07,2021-01-10,Colision,19026.89,2854.03,16172.86,16172.86,Pagado,0,1
215,2147,2020,2020-06-16,2020-06-19,Colision,20418.53,3062.78,17355.75,17355.739999999998,Pagado,0,6
216,2159,2020,2020-09-01,2020-09-13,Colision,4933.85,1800,3133.85,3133.84,Pagado,0,9
217,2169,2020,2020-08-24,2020-09-05,Colision,34549.86,5182.48,29367.38,29367.38,Pagado,0,8
218,2184,2020,2021-11-12,2021-11-25,Incendio,130836.55,19625.48,111211.06,111211.06,Pagado,0,11
219,2193,2020,2020-09-19,2020-09-24,Danos,14045.95,2106.89,11939.06,11939.05,Pagado,0,9
220,2214,2020,2020-12-29,2021-01-12,Colision,10019.99,1800,8219.99,0,Rechazado,0,12
221,2226,2020,2020-08-17,2020-08-19,Colision,20351.5,3052.73,17298.78,17298.78,Pagado,0,8
222,2233,2020,2020-07-29,2020-08-12,Colision,63474.55,9521.18,53953.37,0,Rechazado,0,7
223,2259,2020,2020-10-31,2020-11-09,Danos,23530.52,3529.58,20000.94,20000.95,Pagado,0,10
224,2260,2020,2020-06-20,2020-06-28,Robo Parcial,1462.86,1800,0,0,Pagado,0,6
225,2277,2020,2021-03-27,2021-04-04,Danos,25196.11,3779.42,21416.69,21416.69,Pagado,0,3
226,2281,2020,2021-02-17,2021-02-27,Colision,2065.49,1800,265.49,265.49,Pagado,0,2
227,2282,2020,2020-09-30,2020-10-08,Colision,15112.81,2266.92,12845.89,12845.88,Pagado,0,9
228,2300,2020,2021-05-18,2021-05-31,Colision,5358.46,1800,3558.46,3558.46,Pagado,0,5
229,2339,2020,2020-11-06,2020-11-17,Robo Parcial,8545.01,1800,6745.01,6745.02,Pagado,0,11
230,2352,2020,2020-11-12,2020-11-16,Colision,18121.63,2718.24,15403.38,15403.390000000001,Pagado,0,11
231,2354,2020,2020-05-29,2020-06-02,Colision,36882.14,5532.32,31349.82,31349.81,Pagado,0,5
232,2363,2020,2020-07-10,2020-07-25,Danos,9673.34,1800,7873.34,0,Rechazado,0,7
233,2364,2020,2021-01-14,2021-01-27,Colision,4753.36,1800,2953.36,2953.3500000000004,Pagado,0,1
234,2382,2020,2021-02-04,2021-02-07,Robo Parcial,2660.96,1800,860.96,0,Rechazado,0,2
235,2382,2020,2021-02-15,2021-03-02,Danos,15841.37,2376.21,13465.17,0,Rechazado,0,2
236,2386,2020,2021-08-29,2021-09-11,Robo Parcial,23498.58,3524.79,19973.8,19973.79,Pagado,0,8
237,2391,2020,2021-04-18,2021-04-21,Robo Parcial,3789.38,1800,1989.38,0,Rechazado,0,4
238,2410,2020,2021-02-14,2021-02-22,Colision,19592.28,2938.84,16653.44,0,Rechazado,0,2
239,2410,2020,2021-05-02,2021-05-05,Robo Parcial,4526.33,1800,2726.33,0,Rechazado,0,5
240,2414,2020,2021-02-25,2021-02-27,Danos,15986.82,2398.02,13588.8,13588.8,Pagado,0,2
241,2416,2020,2020-02-22,2020-02-24,Colision,11063.99,1800,9263.99,9263.99,Pagado,0,2
242,2418,2020,2021-01-30,2021-02-03,Colision,34224.13,5133.62,29090.51,29090.510000000002,Pagado,0,1
243,2455,2020,2021-02-15,2021-02-28,Colision,3622.77,1800,1822.77,1822.77,Pagado,0,2
244,2457,2020,2021-05-03,2021-05-12,Robo Parcial,4455.18,1800,2655.18,0,Rechazado,0,5
245,2459,2020,2021-05-28,2021-06-12,Colision,13674.89,2051.23,11623.66,11623.66,Pagado,0,5
246,2466,2020,2021-01-24,2021-02-01,Colision,23138.7,3470.81,19667.9,19667.89,Pagado,0,1
247,2470,2020,2021-03-16,2021-03-27,Colision,7930.2,1800,6130.2,6130.21,Pagado,0,3
248,2493,2020,2021-03-01,2021-03-02,Colision,11735.87,1800,9935.87,9935.87,Pagado,0,3
249,2504,2020,2020-12-11,2020-12-19,Colision,6140.3,1800,4340.3,4340.3,Pagado,0,12
250,2505,2020,2021-06-19,2021-06-26,Danos,13128.41,1969.26,11159.15,0,Rechazado,0,6
251,2508,2020,2020-09-14,2020-09-27,Colision,2682.23,1800,882.23,0,Rechazado,0,9
252,2521,2020,2021-03-11,2021-03-17,Danos,37672.96,5650.94,32022.02,32022.01,Pagado,0,3
253,2537,2020,2021-03-07,2021-03-14,Robo Parcial,15727.32,2359.1,13368.22,13368.23,Pagado,0,3
